Name,Set,Types,Cost,Text,Actions,Cards,Buys,Coins,Trash,Exile,Junk,Gain,Victory
Opulent Castle,Empires,Action - Victory - Castle,7,"Discard any number of Victory cards, revealed. + per card discarded.3",,-X,,+xX,,,,,3
Overlord,Empires,Action - Command,208,"Play a non-Command non-Duration Action card from the Supply costing up to , leaving it there.",(P1),,,,,,,,
Patrician,Empires,Action,2,"+1 Card+1 ActionReveal the top card of your deck. If it costs  or more, put it into your hand.",+1,"+1, !+1",,,,,,,
Plunder,Empires,Treasure,5,+1,,,,+,,,,,+1
Rocks,Empires,Treasure,4,"When you gain or trash this: If it's your Buy phase, gain a Silver onto your deck, otherwise gain a Silver to your hand.",,*(+1),,+,,,,*1,
Royal Blacksmith,Empires,Action,208,+5 CardsReveal your hand; discard the Coppers.,,"+5, -X",,,,,,,
Sacrifice,Empires,Action,4,"Trash a card from your hand.If it's an…Action card, +2 Cards and +2 ActionsTreasure card, +Victory card, +2",!+2,!+2,,!+,1,,,,!+2
Settlers,Empires,Action,2,+1 Card+1 ActionYou may reveal a Copper from your discard pile and put it into your hand.,+1,"+1, +1?",,(+)?,,,,,
Small Castle,Empires,Action - Victory - Castle,5,"Trash this or a Castle from your hand. If you do, gain a Castle.2",,,,,1 or Self?,,,1,"2 , (X )"
Sprawling Castle,Empires,Victory - Castle,8,"4 When you gain this, gain a Duchy or 3 Estates.",,,,,,,,*1 or 3,4 *(3 )
Temple,Empires,Action - Gathering,4,"+1 Trash from 1 to 3 differently named cards from your hand. Add 1  to the Temple pile.When you gain this, take the   from the Temple pile.",,,,,1-3,,,,+1 *+X
Villa,Empires,Action,4,"+2 Actions+1 Buy+When you gain this, put it into your hand, +1 Action, and if it's your Buy phase return to your Action phase.",+2*+1,*(+Self),+1,+,,,,,
Wild Hunt,Empires,Action - Gathering,5,"Choose one: +3 Cards and add 1  to the Wild Hunt pile; or gain an Estate, and if you do, take the   from the pile.",,+3?,,,,,,1?,"(1 ?), +X"
Advance,Empires,Event,0,"You may trash an Action card from your hand. If you do, gain an Action card costing up to .",,,,,1?,,,!1,
Annex,Empires,Event,208,Look through your discard pile. Shuffle all but up to 5 cards from it into your deck. Gain a Duchy.,,,,,,,,1,(3 )
Banquet,Empires,Event,3,Gain 2 Coppers and a non-Victory card costing up to .,,,,,,,2Self,3,
Conquest,Empires,Event,6,Gain 2 Silvers. +1  per Silver you've gained this turn.,,,,,,,,2,+X
Delve,Empires,Event,2,+1 BuyGain a Silver.,,,+1,,,,,1,
Dominate,Empires,Event,14,"Gain a Province. If you do, +9 .",,,,,,,,1,"(6 ), !+9"
Donate,Empires,Event,208,"At the start of your next turn, first, put your deck and discard pile into your hand, trash any number of cards from it, then shuffle the rest into your deck and draw 5 cards.",,"N -X, N +5",,,X,,,,
Ritual,Empires,Event,4,"Gain a Curse. If you do, trash a card from your hand. +1  per  it costs.",,,,,1,,Self,1,"(-1 ), +X"
Salt the Earth,Empires,Event,4,+1 Trash a Victory card from the Supply.,,,,,1 Supply,,,,+1
Tax,Empires,Event,2,"Add  to a Supply pile.Setup: Add  to each Supply pile. When a player gains a card in their Buy phase, they take the  from its pile.",,,,,,,,,
Triumph,Empires,Event,205,"Gain an Estate. If you did, +1  per card you've gained this turn.",,,,,,,,1,"(1 ), +X"
Wedding,Empires,Event,207,+1 Gain a Gold.,,,,,,,,1,+1
Windfall,Empires,Event,5,"If your deck and discard pile are empty, gain 3 Golds.",,,,,,,,!3,
Aqueduct,Empires,Landmark,-1,"When you gain a Treasure, move 1  from its pile to this. When you gain a Victory card, take the   from this.Setup: Put 8  on the Silver and Gold piles.",,,,,,,,,+X
Arena,Empires,Landmark,-1,"At the start of your Buy phase, you may discard an Action card. If you do, take 2  from here.Setup: Put 6  here per player.",,,,,,,,,+2
Bandit Fort,Empires,Landmark,-1,"When scoring, -2  for each Silver and each Gold you have.",,,,,,,,,-X
Basilica,Empires,Landmark,-1,"When you gain a card in your Buy phase, if you have  or more, take 2  from here.Setup: Put 6  here per player.",,,,,,,,,+2
Baths,Empires,Landmark,-1,"When you end your turn without having gained a card, take 2  from here.Setup: Put 6  here per player.",,,,,,,,,+2
Battlefield,Empires,Landmark,-1,"When you gain a Victory card, take 2  from here.Setup: Put 6  here per player.",,,,,,,,,+2
Colonnade,Empires,Landmark,-1,"When you gain an Action card in your Buy phase, if you have a copy of it in play, take 2  from here.Setup: Put 6  here per player.",,,,,,,,,+2
Defiled Shrine,Empires,Landmark,-1,"When you gain an Action, move 1  from its pile to this. When you gain a Curse in your Buy phase, take the   from this.Setup: Put 2  on each non-Gathering Action Supply pile.",,,,,,,,,+X
Fountain,Empires,Landmark,-1,"When scoring, 15  if you have at least 10 Coppers.",,,,,,,,,!15
Keep,Empires,Landmark,-1,"When scoring, 5  per differently named Treasure you have, that you have more copies of than each other player, or tied for most.",,,,,,,,,X
Labyrinth,Empires,Landmark,-1,"When you gain a 2nd card in one of your turns, take 2  from here.Setup: Put 6  here per player.",,,,,,,,,+2
Mountain Pass,Empires,Landmark,-1,"When you are the first player to gain a Province, each player bids once, up to , ending with you. High bidder gets +8  and takes the  they bid.",,,,,,,,,!+8
Museum,Empires,Landmark,-1,"When scoring, 2  per differently named card you have.",,,,,,,,,X
Obelisk,Empires,Landmark,-1,"When scoring, 2  per card you have from the chosen pile.Setup: Choose a random Action Supply pile.",,,,,,,,,X
Orchard,Empires,Landmark,-1,"When scoring, 4  per differently named Action card you have 3 or more copies of.",,,,,,,,,X
Palace,Empires,Landmark,-1,"When scoring, 3  per set you have of Copper - Silver - Gold.",,,,,,,,,X
Tomb,Empires,Landmark,-1,"When you trash a card, +1 .",,,,,,,,,+1
Tower,Empires,Landmark,-1,"When scoring, 1  per non-Victory card you have from an empty Supply pile.",,,,,,,,,X
Triumphal Arch,Empires,Landmark,-1,"When scoring, 3  per copy you have of the 2nd most common Action card among your cards (if it's a tie, count either).",,,,,,,,,X
Wall,Empires,Landmark,-1,"When scoring, -1  per card you have after the first 15.",,,,,,,,,-X
Wolf Den,Empires,Landmark,-1,"When scoring, -3  per card you have exactly one copy of.",,,,,,,,,-X
Bard,Nocturne,Action - Fate,4,+Receive a Boon.,,,,+,,,,,
Blessed Village,Nocturne,Action - Fate,4,"+1 Card+2 ActionsWhen you gain this, take a Boon. Receive it now or at the start of your next turn.",+2,+1,,,,,,,
Cemetery,Nocturne,Victory,4,"2 When you gain this, trash up to 4 cards from your hand.Heirloom: Haunted Mirror",,,,,*0-4,,,,2
Changeling,Nocturne,Night,3,"Trash this. Gain a copy of a card you have in play.In games using this, when you gain a card costing  or more, you may exchange it for a Changeling.",,,,,Self,,,1*Self,
Cobbler,Nocturne,Night - Duration,5,"At the start of your next turn, gain a card to your hand costing up to .",,(+1),,,,,,N 1,
Conclave,Nocturne,Action,4,"+You may play an Action card from your hand that you don't have a copy of in play. If you do, +1 Action.","P1?, +1?",,,+,,,,,
Crypt,Nocturne,Night - Duration,5,"Set aside any number of non-Duration Treasures you have in play, face down (under this). While any remain, at the start of each of your turns, put one of them into your hand.",,"N +1, NN +1 ...",,,,,,,
Cursed Village,Nocturne,Action - Doom,5,"+2 ActionsDraw until you have 6 cards in hand.When you gain this, receive a Hex.",+2,=6,,,,,,,
Den of Sin,Nocturne,Night - Duration,5,"At the start of your next turn, +2 Cards.This is gained to your hand (instead of your discard pile).",,*(+Self)N +2,,,,,,,
Devil's Workshop,Nocturne,Night,4,"If the number of cards you've gained this turn is:2+, gain an Imp;1, gain a card costing up to ;0, gain a Gold.",,,,,,,,1,
Druid,Nocturne,Action - Fate,2,+1 Buy Receive one of the set-aside Boons (leaving it there).Setup: Set aside the top 3 Boons face up.,,,+1,,,,,,
Exorcist,Nocturne,Night,4,Trash a card from your hand. Gain a cheaper Spirit from one of the Spirit piles.,,,,,1,,,1,
Faithful Hound,Nocturne,Action - Reaction,2,"+2 CardsWhen you discard this other than during Clean-up, you may set it aside, and put it into your hand at end of turn.",,+2(N +Self),,,,,,,
Fool,Nocturne,Action - Fate,3,"If you aren't the player with Lost in the Woods: take it, take 3 Boons, and receive the Boons in any order.Heirloom: Lucky Coin",,,,,,,,,
Ghost Town,Nocturne,Night - Duration,3,"At the start of your next turn, +1 Card and +1 Action.This is gained to your hand (instead of your discard pile).",N +1,*(+Self)N +1,,,,,,,
Guardian,Nocturne,Night - Duration,2,"At the start of your next turn, +. Until then, when another player plays an Attack card, it doesn't affect you. This is gained to your hand (instead of your discard pile).",,*(+Self),,N +,,,,,
Idol,Nocturne,Treasure - Attack - Fate,5,"If you have an odd number of Idols in play (counting this), receive a Boon; otherwise, each other player gains a Curse.",,,,+,,,!1,,
Leprechaun,Nocturne,Action - Doom,3,"Gain a Gold. If you have exactly 7 cards in play, gain a Wish. Otherwise, receive a Hex.",,,,,,,,"1, 1?",
Monastery,Nocturne,Night,2,"For each card you've gained this turn, you may trash a card from your hand or a Copper you have in play.",,,,,X,,,,
Necromancer,Nocturne,Action,4,"Choose a face up, non-Duration Action card in the trash. Turn it face down for the turn, and play it, leaving it there.Setup: Put the 3 Zombies into the trash.",(P1),,,,,,,,
Night Watchman,Nocturne,Night,3,"Look at the top 5 cards of your deck, discard any number, and put the rest back in any order.This is gained to your hand (instead of your discard pile).",,*(+Self),,,,,,,
Pixie,Nocturne,Action - Fate,2,+1 Card+1 ActionDiscard the top Boon. You may trash this to receive that Boon twice.Heirloom: Goat,+1,+1,,,Self?,,,,
Pooka,Nocturne,Action,5,"You may trash a Treasure other than Cursed Gold from your hand, for +4 Cards.Heirloom: Cursed Gold",,!+4,,,1?,,,,
Raider,Nocturne,Night - Duration - Attack,6,"Each other player with 5 or more cards in hand discards a copy of a card you have in play (or reveals they can't).At the start of your next turn, +.",,,,N +,,,,,
Sacred Grove,Nocturne,Action - Fate,5,"+1 Buy+Receive a Boon. If it doesn't give +, each other player may receive it.",,,+1,+,,,,,
Secret Cave,Nocturne,Action - Duration,3,"+1 Card+1 ActionYou may discard 3 cards. If you did, then at the start of your next turn, +.Heirloom: Magic Lamp",+1,"+1, -3?",,!N +,,,,,
Shepherd,Nocturne,Action,4,"+1 ActionDiscard any number of Victory cards, revealing them. +2 Cards per card discarded.Heirloom: Pasture",+1,"-X, +2X",,,,,,,
Skulk,Nocturne,Action - Attack - Doom,4,"+1 BuyEach other player receives the next Hex.When you gain this, gain a Gold.",,,+1,,,,,*1,
Tormentor,Nocturne,Action - Attack - Doom,5,"+If you have no other cards in play, gain an Imp. Otherwise, each other player receives the next Hex.",,,,+,,,,!1,
Tracker,Nocturne,Action - Fate,2,"+This turn, when you gain a card, you may put it onto your deck. Receive a Boon.Heirloom: Pouch",,,,+,,,,,
Tragic Hero,Nocturne,Action,5,"+3 Cards+1 BuyIf you have 8 or more cards in hand (after drawing), trash this and gain a Treasure.",,+3,+1,,!Self,,,!1,
Vampire,Nocturne,Night - Attack - Doom,5,Each other player receives the next Hex. Gain a card costing up to  other than a Vampire.Exchange this for a Bat.,,,,,Self,,,2,
Werewolf,Nocturne,Action - Night - Attack - Doom,5,"If it's your Night phase, each other player receives the next Hex. Otherwise, +3 Cards.",,!+3,,,,,,,
Bat,Nocturne,Night,1.9,"Trash up to 2 cards from your hand. If you trashed at least one, exchange this for a Vampire.(This is not in the Supply.)",,,,,"0-2?, !Self",,,!1,
Cursed Gold,Nocturne,Treasure - Heirloom,4,Gain a Curse.,,,,+,,,Self,1,
Ghost,Nocturne,Night - Duration - Spirit,3.9,"Reveal cards from your deck until you reveal an Action. Discard the other cards and set aside the Action. At the start of your next turn, play it twice.(This is not in the Supply.)",N P2,,,,,,,,
Goat,Nocturne,Treasure - Heirloom,2,You may trash a card from your hand.,,,,+,1?,,,,
Haunted Mirror,Nocturne,Treasure - Heirloom,0,"When you trash this, you may discard an Action card, to gain a Ghost.",,,,+,,,,*1?,
Imp,Nocturne,Action - Spirit,1.9,+2 CardsYou may play an Action card from your hand that you don't have a copy of in play.(This is not in the Supply.),!P1?,+2,,,,,,,
Lucky Coin,Nocturne,Treasure - Heirloom,4,Gain a Silver.,,,,+,,,,1,
Magic Lamp,Nocturne,Treasure - Heirloom,0,"If there are at least 6 cards that you have exactly 1 copy of in play (counting this), trash this. If you did, gain 3 Wishes.",,,,+,!Self,,,!3,
Pasture,Nocturne,Treasure - Victory - Heirloom,2,Worth 1  per Estate you have.,,,,+,,,,,X
Pouch,Nocturne,Treasure - Heirloom,2,+1 Buy,,,+1,+,,,,,
Will-o'-Wisp,Nocturne,Action - Spirit,-0.1,"+1 Card+1 ActionReveal the top card of your deck. If it costs  or less, put it into your hand.(This is not in the Supply.)",+1,"+1, !+1",,,,,,,
Wish,Nocturne,Action,-0.1,"+1 ActionReturn this to its pile. If you did, gain a card to your hand costing up to .(This is not in the Supply.)",+1,(+1),,,Self,,,!1,
Zombie Apprentice,Nocturne,Action - Zombie,3,You may trash an Action card from your hand for +3 Cards and +1 Action.,!+1,!+3,,,1?,,,,
Zombie Mason,Nocturne,Action - Zombie,3,Trash the top card of your deck. You may gain a card costing up to  more than it.,,,,,1,,,1?,
Zombie Spy,Nocturne,Action - Zombie,3,+1 Card+1 ActionLook at the top card of your deck. Discard it or put it back.,+1,+1,,,,,,,
The Earth's Gift,Nocturne,Boon,-2,You may discard a Treasure to gain a card costing up to .,,-1?,,,,,,!1,
The Field's Gift,Nocturne,Boon,-2,+1 Action+(Keep this until Clean-up.),+1,,,+,,,,,
The Flame's Gift,Nocturne,Boon,-2,You may trash a card from your hand.,,,,,1?,,,,
The Forest's Gift,Nocturne,Boon,-2,+1 Buy+(Keep this until Clean-up.),,,+1,+,,,,,
The Moon's Gift,Nocturne,Boon,-2,Look through your discard pile. You may put a card from it onto your deck.,,,,,,,,,
The Mountain's Gift,Nocturne,Boon,-2,Gain a Silver.,,,,,,,,1,
The River's Gift,Nocturne,Boon,-2,+1 Card at the end of this turn.(Keep this until Clean-up.),,(N +1),,,,,,,
The Sea's Gift,Nocturne,Boon,-2,+1 Card,,+1,,,,,,,
The Sky's Gift,Nocturne,Boon,-2,You may discard 3 cards to gain a Gold.,,-3?,,,,,,!1,
The Sun's Gift,Nocturne,Boon,-2,Look at the top 4 cards of your deck. Discard any number of them and put the rest back in any order.,,,,,,,,,
The Swamp's Gift,Nocturne,Boon,-2,Gain a Will-o'-Wisp.,,,,,,,,1,
The Wind's Gift,Nocturne,Boon,-2,+2 CardsDiscard 2 cards.,,"+2, -2",,,,,,,
Bad Omens,Nocturne,Hex,-3,Put your deck into your discard pile. Look through it and put 2 Coppers from it onto your deck (or reveal you can't).,,,,,,,,,
Delusion,Nocturne,Hex,-3,"If you don't have Deluded or Envious, take Deluded.",,,,,,,,,
Envy,Nocturne,Hex,-3,"If you don't have Deluded or Envious, take Envious.",,,,,,,,,
Famine,Nocturne,Hex,-3,Reveal the top 3 cards of your deck. Discard the Actions. Shuffle the rest into your deck.,,,,,,,,,
Fear,Nocturne,Hex,-3,"If you have at least 5 cards in hand, discard an Action or Treasure (or reveal you can't).",,!-1,,,,,,,
Greed,Nocturne,Hex,-3,Gain a Copper onto your deck.,,,,,,,Self,1,
Haunting,Nocturne,Hex,-3,"If you have at least 4 cards in hand, put one of them onto your deck.",,!-1,,,,,,,
Locusts,Nocturne,Hex,-3,"Trash the top card of your deck. If it's Copper or Estate, gain a Curse. Otherwise, gain a cheaper card that shares a type with it.",,,,,1,,!Self,1,!(-1 )
Misery,Nocturne,Hex,-3,"If this is your first Misery this game, take Miserable. Otherwise, flip it over to Twice Miserable.",,,,,,,,,-2
Plague,Nocturne,Hex,-3,Gain a Curse to your hand.,,(+1),,,,,Self,1,(-1 )
Poverty,Nocturne,Hex,-3,Discard down to 3 cards in hand.,,-X,,,,,,,
War,Nocturne,Hex,-3,Reveal cards from your deck until revealing one costing  or . Trash it and discard the rest.,,,,,1,,,,
Deluded,Nocturne,State,-4,"At the start of your Buy phase, return this, and you can't buy Actions this turn.",,,!(=0),,,,,,
Envious,Nocturne,State,-4,"At the start of your Buy phase, return this, and Silver and Gold make  this turn.",,,,(-),,,,,
Lost in the Woods,Nocturne,State,-4,"At the start of your turn, you may discard a card to receive a Boon.",,-1?,,,,,,,
Miserable,Nocturne,State,-4,-2,,,,,,,,,-2
Twice Miserable,Nocturne,State,-4,-4,,,,,,,,,-4
Acting Troupe,Renaissance,Action,3,+4 VillagersTrash this.,+4,,,,Self,,,,
Border Guard,Renaissance,Action,2,"+1 ActionReveal the top 2 cards of your deck. Put one into your hand and discard the other. If both were Actions, take the Lantern or Horn.",+1,+1,,,,,,,
Cargo Ship,Renaissance,Action - Duration,3,"+Once this turn, when you gain a card, you may set it aside face up (on this). At the start of your next turn, put it into your hand.",,N (+1),,+,,,,,
Ducat,Renaissance,Treasure,2,"+1 Coffers+1 BuyWhen you gain this, you may trash a Copper from your hand.",,,+1,+,*1,,,,
Experiment,Renaissance,Action,3,"+2 Cards+1 ActionReturn this to its pile.When you gain this, gain another Experiment (that doesn't come with another).",+1,+2,,,Self,,,*1,
Flag Bearer,Renaissance,Action,4,"+When you gain or trash this, take the Flag.",,,,+,,,,,
Hideout,Renaissance,Action,4,"+1 Card+2 ActionsTrash a card from your hand. If it's a Victory card, gain a Curse.",+2,+1,,,1,,!Self,!1,
Improve,Renaissance,Action,3,"+At the start of Clean-up, you may trash an Action card you would discard from play this turn, to gain a card costing exactly  more than it.",,,,+,*1?,,,!1,
Inventor,Renaissance,Action,4,"Gain a card costing up to , then cards cost  less this turn.",,,,R1,,,,1,
Lackeys,Renaissance,Action,2,"+2 CardsWhen you gain this, +2 Villagers.",*+2,+2,,,,,,,
Mountain Village,Renaissance,Action,4,"+2 ActionsLook through your discard pile and put a card from it into your hand; if you can't, +1 Card.",+2,+1,,,,,,,
Old Witch,Renaissance,Action - Attack,5,+3 CardsEach other player gains a Curse and may trash a Curse from their hand.,,+3,,,,,1,,
Patron,Renaissance,Action - Reaction,4,"+1 Villager+When something causes you to reveal this (using the word ""reveal"") in an Action phase, +1 Coffers.",+1,,,+*+,,,,,
Priest,Renaissance,Action,4,"+Trash a card from your hand. For the rest of this turn, when you trash a card, +.",,,,"+, +",1,,,,
Recruiter,Renaissance,Action,5,+2 CardsTrash a card from your hand. +1 Villager per  it costs.,+X,+2,,,1,,,,
Research,Renaissance,Action - Duration,4,"+1 ActionTrash a card from your hand. Per  it costs, set aside a card from your deck face down (on this). At the start of your next turn, put those cards into your hand.",+1,N +X,,,1,,,,
Scepter,Renaissance,Treasure - Command,5,Choose one: +; or replay a non-Command Action card you played this turn that's still in play.,P1?,,,+?,,,,,
Scholar,Renaissance,Action,5,Discard your hand. +7 Cards.,,"-X, +7",,,,,,,
Sculptor,Renaissance,Action,5,"Gain a card to your hand costing up to . If it's a Treasure, +1 Villager.",!+1,(+1),,,,,,1,
Seer,Renaissance,Action,5,+1 Card+1 ActionReveal the top 3 cards of your deck. Put the ones costing from  to  into your hand. Put the rest back in any order.,+1,"+1, !+ 0-3",,,,,,,
Silk Merchant,Renaissance,Action,4,"+2 Cards+1 BuyWhen you gain or trash this, +1 Coffers and +1 Villager.",*+1,+2,+1,*+,,,,,
Spices,Renaissance,Treasure,5,"+1 BuyWhen you gain this, +2 Coffers.",,,+1,+*+,,,,,
Swashbuckler,Renaissance,Action,5,"+3 CardsIf your discard pile has any cards in it: +1 Coffers, then if you have at least 4 Coffers tokens, take the Treasure Chest.",,+3,,!+,,,,,
Treasurer,Renaissance,Action,5,+Choose one: Trash a Treasure from your hand; or gain a Treasure from the trash to your hand; or take the Key.,,(+1)?,,+,1?,,,1?,
Villain,Renaissance,Action - Attack,5,+2 CoffersEach other player with 5 or more cards in hand discards one costing  or more (or reveals they can't).,,,,+,,,,,
Academy,Renaissance,Project,5,"When you gain an Action card, +1 Villager.",**+1,,,,,,,,
Barracks,Renaissance,Project,6,"At the start of your turn, +1 Action.",N... +1,,,,,,,,
Canal,Renaissance,Project,7,"During your turns, cards cost  less.",,,,"R1, N... R1",,,,,
Capitalism,Renaissance,Project,5,"During your turns, Actions with + amounts in their text are also Treasures.",(PX),,,,,,,,
Cathedral,Renaissance,Project,3,"At the start of your turn, trash a card from your hand.",,,,,N... 1,,,,
Citadel,Renaissance,Project,8,"The first time you play an Action card during each of your turns, replay it afterwards.",**P1,,,,,,,,
City Gate,Renaissance,Project,3,"At the start of your turn, +1 Card, then put a card from your hand onto your deck.",,N... +1 -1,,,,,,,
Crop Rotation,Renaissance,Project,6,"At the start of your turn, you may discard a Victory card for +2 Cards.",,N... -1? !+2,,,,,,,
Exploration,Renaissance,Project,4,"At the end of your Buy phase, if you didn't gain any cards during it, +1 Coffers and +1 Villager.",**+1,,,**+,,,,,
Fair,Renaissance,Project,4,"At the start of your turn, +1 Buy.",,,N... +1,,,,,,
Fleet,Renaissance,Project,5,"After the game ends, there's an extra round of turns just for players with this.",,,,,,,,,
Guildhall,Renaissance,Project,5,"When you gain a Treasure, +1 Coffers.",,,,**+,,,,,
Innovation,Renaissance,Project,6,"Once during each of your turns, when you gain an Action card, you may play it.",**P1?,,,,,,,,
Pageant,Renaissance,Project,3,"At the end of your Buy phase, you may pay  for +1 Coffers.",,,,N... -? !+,,,,,
Piazza,Renaissance,Project,5,"At the start of your turn, reveal the top card of your deck. If it's an Action, play it.",N... !P1,,,,,,,,
Road Network,Renaissance,Project,5,"When another player gains a Victory card, +1 Card.",,**+1,,,,,,,
Sewers,Renaissance,Project,3,"When you trash a card other than with this, you may trash a card from your hand.",,,,,**1?,,,,
Silos,Renaissance,Project,4,"At the start of your turn, discard any number of Coppers, revealed, and draw that many cards.",,N... -X +X,,,,,,,
Sinister Plot,Renaissance,Project,4,"At the start of your turn, add a token here, or remove your tokens here for +1 Card each.",,+X?,,,,,,,
Star Chart,Renaissance,Project,3,"When shuffling, you may pick one of the cards to go on top.",,,,,,,,,
Flag,Renaissance,Artifact,-5,"When drawing your hand, +1 Card.",,(N +1),,,,,,,
Horn,Renaissance,Artifact,-5,"Once per turn, when you discard a Border Guard from play, you may put it onto your deck.",,,,,,,,,
Key,Renaissance,Artifact,-5,"At the start of your turn, +.",,,,+,,,,,
Lantern,Renaissance,Artifact,-5,Border Guards you play reveal 3 cards and discard 2. (It takes all 3 being Actions to take the Horn.),,,,,,,,,
Treasure Chest,Renaissance,Artifact,-5,"At the start of your Buy phase, gain a Gold.",,,,,,,,1,
Animal Fair,Menagerie,Action,6.9,"++1 Buy per empty supply pile.Instead of paying this card's cost, you may trash an Action card from your hand.",,,+X,"+, !Rself",,,,,
Barge,Menagerie,Action - Duration,5,"Either now or at the start of your next turn, +3 Cards and +1 Buy.",,"+3?, N +3?","+1?, N +1?",,,,,,
Black Cat,Menagerie,Action - Attack - Reaction,2,"+2 CardsIf it isn't your turn, each other player gains a Curse.When another player gains a Victory card, you may play this from your hand.",**Pself,+2,,,,,!1,,
Bounty Hunter,Menagerie,Action,4,"+1 ActionExile a card from your hand. If you didn't have a copy of it in Exile, +.",+1,-1,,!+,,1,,,
Camel Train,Menagerie,Action,3,"Exile a non-Victory card from the Supply.When you gain this, Exile a Gold from the Supply.",,,,,,1 Supply*1 Supply,,,
Cardinal,Menagerie,Action - Attack,4,"+Each other player reveals the top 2 cards of their deck, Exiles one costing from  to , and discards the rest.",,,,+,,,,,
Cavalry,Menagerie,Action,4,"Gain 2 Horses.When you gain this, +2 Cards, +1 Buy, and if it's your Buy phase return to your Action phase.",,*+2,*+1,,,,,2,
Coven,Menagerie,Action - Attack,5,"+1 Action+Each other player Exiles a Curse from the Supply. If they can't, they discard their Exiled Curses.",+1,,,+,,,!1,,
Destrier,Menagerie,Action,5.9,"+2 Cards+1 ActionDuring your turns, this costs  less per card you've gained this turn.",+1,+2,,!Rself,,,,,
Displace,Menagerie,Action,5,Exile a card from your hand. Gain a differently named card costing up to  more than it.,,-1,,,,1,,1,
Falconer,Menagerie,Action - Reaction,5,"Gain a card to your hand costing less than this.When any player gains a card with 2 or more types (Action, Attack, etc.), you may play this from your hand.",,(+1),,,,,,1,
Fisherman,Menagerie,Action,4.9,"+1 Card+1 Action+During your turns, if your discard pile is empty, this costs  less.",+1,+1,,"+, !R3self",,,,,
Gatekeeper,Menagerie,Action - Duration - Attack,5,"At the start of your next turn, +. Until then, when another player gains an Action or Treasure card they don't have an Exiled copy of, they Exile it.",,,,N +,,,,,
Goatherd,Menagerie,Action,3,+1 ActionYou may trash a card from your hand.+1 Card per card the player to your right trashed on their last turn.,+1,+X,,,1?,,,,
Groom,Menagerie,Action,4,"Gain a card costing up to . If it's an…Action card, gain a Horse;Treasure card, gain a Silver;Victory card, +1 Card and +1 Action.",!+1,!+1,,,,,,"1, !1",
Hostelry,Menagerie,Action,4,"+1 Card+2 ActionsWhen you gain this, you may discard any number of Treasures, revealed, to gain that many Horses.",+2,+1*-X,,,,,,*X,
Hunting Lodge,Menagerie,Action,5,+1 Card+2 ActionsYou may discard your hand for +5 Cards.,+2,"+1, -X?, !+5",,,,,,,
Kiln,Menagerie,Action,5,"+The next time you play a card this turn, you may first gain a copy of it.",,,,+,,,,1?,
Livery,Menagerie,Action,5,"+This turn, when you gain a card costing  or more, gain a Horse.",,,,+,,,,X,
Mastermind,Menagerie,Action - Duration,5,"At the start of your next turn, you may play an Action card from your hand three times.",N P3?,,,,,,,,
Paddock,Menagerie,Action,5,+Gain 2 Horses.+1 Action per empty Supply pile.,+X,,,+,,,,2,
Sanctuary,Menagerie,Action,5,+1 Card+1 Action+1 BuyYou may Exile a card from your hand.,+1,"+1, -1?",+1,,,1?,,,
Scrap,Menagerie,Action,3,Trash a card from your hand. Choose a different thing per  it costs: +1 Card; +1 Action; +1 Buy; +; gain a Silver; gain a Horse.,+1?,+1?,+1?,+?,1,,,0-2?,
Sheepdog,Menagerie,Action - Reaction,3,"+2 CardsWhen you gain a card, you may play this from your hand.",*Pself,+2,,,,,,,
Sleigh,Menagerie,Action - Reaction,2,"Gain 2 Horses.When you gain a card, you may discard this, to put that card into your hand or onto your deck.",,*-Self? !(+1)?,,,,,,2,
Snowy Village,Menagerie,Action,3,+1 Card+4 Actions+1 BuyIgnore any further +Actions you get this turn.,"+4, -X",+1,+1,,,,,,
Stockpile,Menagerie,Treasure,3,+1 BuyExile this.,,,+1,+,,Self,,,
Supplies,Menagerie,Treasure,2,Gain a Horse onto your deck.,,,,+,,,,1,
Village Green,Menagerie,Action - Duration - Reaction,4,"Either now or at the start of your next turn, +1 Card and +2 Actions.When you discard this other than during Clean-up, you may reveal it to play it.","+2?, N +2?*Pself","+1?, N +1?",,,,,,,
Wayfarer,Menagerie,Action,5.9,"+3 CardsYou may gain a Silver.This has the same cost as the last other card gained this turn, if any.",,+3,,!Rself,,,,1?,
Horse,Menagerie,Action,2.9,+2 Cards+1 ActionReturn this to its pile.(This is not in the Supply.),+1,+2,,,Self,,,,
Alliance,Menagerie,Event,10,"Gain a Province, a Duchy, an Estate, a Gold, a Silver, and a Copper.",,,,,,,,6,(10 )
Banish,Menagerie,Event,4,Exile any number of cards with the same name from your hand.,,-X,,,,X,,,
Bargain,Menagerie,Event,4,Gain a non-Victory card costing up to . Each other player gains a Horse.,,,,,,,,1,
Commerce,Menagerie,Event,5,Gain a Gold per differently named card you've gained this turn.,,,,,,,,X,
Delay,Menagerie,Event,0,"You may set aside an Action card from your hand. At the start of your next turn, play it.",!N P1,-1?,,,,,,,
Demand,Menagerie,Event,5,"Gain a Horse and a card costing up to , both onto your deck.",,,,,,,,2,
Desperation,Menagerie,Event,0,"Once per turn: You may gain a Curse. If you do, +1 Buy and +.",,,!+1,!+,,,Self?,1?,
Enclave,Menagerie,Event,8,Gain a Gold. Exile a Duchy from the Supply.,,,,,,1 Supply,,1,(3 )
